UserID,Name,Email,Age,Role,Status
GV000024,Đỗ Văn Bình,binhdo943@fpt.edu.vn,44,Giảng viên,offline
GV000025,Huỳnh Hữu Huy,huyhuynh754@fpt.edu.vn,43,Giảng viên,offline
GV000026,Trần Đức Hoa,hoatran242@fpt.edu.vn,45,Giảng viên,offline
GV000027,Ngô Minh Thảo,thaongo363@fpt.edu.vn,50,Giảng viên,active
GV000028,Đỗ Đức Bình,binhdo435@fpt.edu.vn,31,Giảng viên,active
GV000029,Lê Văn Dũng,dungle249@fpt.edu.vn,45,Giảng viên,offline
GV000030,Lê Thanh Huy,huyle727@fpt.edu.vn,32,Giảng viên,offline
GV000031,Bùi Văn Nguyên,nguyenbui253@fpt.edu.vn,51,Giảng viên,offline
GV000032,Dương Hải Khoa,khoaduong542@fpt.edu.vn,33,Giảng viên,active
GV000033,Phan Thanh Hà,haphan108@fpt.edu.vn,51,Giảng viên,offline
GV000034,Huỳnh Quang Hương,huonghuynh535@fpt.edu.vn,57,Giảng viên,active
GV000035,Trần Văn Khánh,khanhtran878@fpt.edu.vn,32,Giảng viên,offline
GV000036,Đặng Thu Nguyên,nguyendang720@fpt.edu.vn,54,Giảng viên,active
GV000037,Hồ Hữu Hà,haho984@fpt.edu.vn,30,Giảng viên,offline
GV000038,Trần Quang Anh,anhtran721@fpt.edu.vn,40,Giảng viên,active
GV000039,Võ Hải Lan,lanvo26@fpt.edu.vn,31,Giảng viên,active
GV000040,Lê Đình Lan,lanle221@fpt.edu.vn,39,Giảng viên,active
GV000041,Hoàng Văn Hoa,hoahoang632@fpt.edu.vn,40,Giảng viên,active
GV000042,Phan Đức Bình,binhphan659@fpt.edu.vn,30,Giảng viên,offline
GV000043,Ngô Đình Cường,cuongngo702@fpt.edu.vn,45,Giảng viên,active
GV000044,Huỳnh Văn Dũng,dunghuynh321@fpt.edu.vn,46,Giảng viên,offline
GV000045,Phạm Quang Hương,huongpham558@fpt.edu.vn,41,Giảng viên,active
GV000046,Bùi Hải Khánh,khanhbui37@fpt.edu.vn,40,Giảng viên,active
GV000047,Dương Thu Hương,huongduong260@fpt.edu.vn,48,Giảng viên,active
GV000048,Đỗ Thành Phong,phongdo603@fpt.edu.vn,42,Giảng viên,offline
GV000049,Lý Gia Lan,lanly16@fpt.edu.vn,53,Giảng viên,offline
GV000050,Hoàng Xuân Lan,lanhoang916@fpt.edu.vn,49,Giảng viên,offline
GV000051,Lý Gia Sơn,sonly367@fpt.edu.vn,35,Giảng viên,offline
GV000052,Phạm Thanh Khoa,khoapham500@fpt.edu.vn,36,Giảng viên,active
GV000053,Võ Hải Dũng,dungvo15@fpt.edu.vn,39,Giảng viên,active
GV000054,Đỗ Hoàng Nguyên,nguyendo380@fpt.edu.vn,32,Giảng viên,active
GV000055,Phan Quang Sơn,sonphan461@fpt.edu.vn,43,Giảng viên,active
GV000056,Phan Minh Phong,phongphan556@fpt.edu.vn,37,Giảng viên,active
GV000057,Đặng Xuân Anh,anhdang740@fpt.edu.vn,52,Giảng viên,offline
GV000058,Hồ Hải Phong,phongho817@fpt.edu.vn,42,Giảng viên,offline
GV000059,Phạm Xuân Tùng,tungpham92@fpt.edu.vn,40,Giảng viên,offline
GV000060,Ngô Thị Khánh,khanhngo842@fpt.edu.vn,45,Giảng viên,offline
GV000061,Nguyễn Gia Bình,binhnguyen756@fpt.edu.vn,52,Giảng viên,offline
GV000062,Phạm Hải Long,longpham171@fpt.edu.vn,50,Giảng viên,active
GV000063,Phan Hải Nga,ngaphan924@fpt.edu.vn,47,Giảng viên,offline
GV000064,Hoàng Minh Dũng,dunghoang926@fpt.edu.vn,54,Giảng viên,offline
GV000065,Hồ Quang Phong,phongho203@fpt.edu.vn,55,Giảng viên,offline
GV000066,Phan Đình Hương,huongphan621@fpt.edu.vn,45,Giảng viên,offline
GV000067,Phan Hoàng Huy,huyphan412@fpt.edu.vn,37,Giảng viên,active
GV000068,Lê Thu Trang,trangle941@fpt.edu.vn,49,Giảng viên,offline
GV000069,Trần Thị Trang,trangtran5@fpt.edu.vn,36,Giảng viên,active
GV000070,Võ Thành Vy,vyvo658@fpt.edu.vn,52,Giảng viên,active
GV000071,Bùi Văn Cường,cuongbui169@fpt.edu.vn,45,Giảng viên,offline
GV000072,Võ Hoàng Khoa,khoavo177@fpt.edu.vn,51,Giảng viên,offline
GV000073,Võ Minh Tùng,tungvo184@fpt.edu.vn,33,Giảng viên,offline
GV000074,Đặng Hoàng Anh,anhdang892@fpt.edu.vn,58,Giảng viên,offline
GV000075,Trần Thanh Anh,anhtran81@fpt.edu.vn,34,Giảng viên,offline
GV000076,Ngô Ngọc Hoa,hoango610@fpt.edu.vn,38,Giảng viên,active
GV000077,Nguyễn Hữu Long,longnguyen518@fpt.edu.vn,40,Giảng viên,offline
GV000078,Phan Thị Huy,huyphan337@fpt.edu.vn,37,Giảng viên,active
GV000079,Lý Thu Phong,phongly125@fpt.edu.vn,58,Giảng viên,active
GV000080,Hoàng Hoàng Long,longhoang133@fpt.edu.vn,52,Giảng viên,active
GV000081,Đỗ Thanh Anh,anhdo655@fpt.edu.vn,50,Giảng viên,offline
GV000082,Đặng Thị Phong,phongdang131@fpt.edu.vn,47,Giảng viên,active
GV000083,Vũ Đình Vy,vyvu396@fpt.edu.vn,30,Giảng viên,offline
GV000084,Trần Hoàng Long,longtran151@fpt.edu.vn,51,Giảng viên,active
GV000085,Võ Đức Anh,anhvo747@fpt.edu.vn,52,Giảng viên,active
GV000086,Ngô Thu Khánh,khanhngo76@fpt.edu.vn,49,Giảng viên,active
GV000087,Huỳnh Thanh Trang,tranghuynh644@fpt.edu.vn,55,Giảng viên,offline
GV000088,Hồ Xuân Khoa,khoaho894@fpt.edu.vn,38,Giảng viên,offline
GV000089,Trần Gia Hà,hatran525@fpt.edu.vn,41,Giảng viên,offline
GV000090,Nguyễn Thu Linh,linhnguyen619@fpt.edu.vn,49,Giảng viên,active
GV000091,Huỳnh Quang Linh,linhhuynh802@fpt.edu.vn,46,Giảng viên,offline
GV000092,Bùi Hải Trang,trangbui269@fpt.edu.vn,50,Giảng viên,active
GV000093,Trần Thị Sơn,sontran765@fpt.edu.vn,54,Giảng viên,offline
GV000094,Lý Hải Hoa,hoaly463@fpt.edu.vn,43,Giảng viên,active
GV000095,Dương Đức Sơn,sonduong59@fpt.edu.vn,56,Giảng viên,active
GV000096,Đặng Đình Hoa,hoadang185@fpt.edu.vn,31,Giảng viên,offline
GV000097,Nguyễn Gia Cường,cuongnguyen781@fpt.edu.vn,51,Giảng viên,active
GV000098,Huỳnh Thị Khánh,khanhhuynh686@fpt.edu.vn,36,Giảng viên,active
GV000099,Hoàng Thu Thảo,thaohoang859@fpt.edu.vn,35,Giảng viên,active
GV000100,Hồ Đức Hà,haho277@fpt.edu.vn,30,Giảng viên,active
